run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14388658,RCN12043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388658/ERR14388658_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388658/ERR14388658_2.fastq.gz
ERR14388702,RCN12060,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14388702/ERR14388702_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14388702/ERR14388702_2.fastq.gz
ERR14388728,RCN12070,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388728/ERR14388728_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388728/ERR14388728_2.fastq.gz
ERR14388730,RCN12071,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14388730/ERR14388730_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14388730/ERR14388730_2.fastq.gz
ERR14388838,RCN12112,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388838/ERR14388838_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388838/ERR14388838_2.fastq.gz
ERR14389342,RCN12688,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14389342/ERR14389342_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14389342/ERR14389342_2.fastq.gz
ERR14389359,RCN12694,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14389359/ERR14389359_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14389359/ERR14389359_2.fastq.gz
ERR14389378,RCN12700,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14389378/ERR14389378_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14389378/ERR14389378_2.fastq.gz
ERR14389427,RCN12716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14389427/ERR14389427_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14389427/ERR14389427_2.fastq.gz
ERR14389451,RCN12725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14389451/ERR14389451_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14389451/ERR14389451_2.fastq.gz
ERR14389471,RCN12732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14389471/ERR14389471_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14389471/ERR14389471_2.fastq.gz
ERR15625352,RCN12084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15625352/ERR15625352_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15625352/ERR15625352_2.fastq.gz
ERR15625364,RCN12115,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15625364/ERR15625364_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15625364/ERR15625364_2.fastq.gz
ERR15625543,RCN12693,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/043/ERR15625543/ERR15625543_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/043/ERR15625543/ERR15625543_2.fastq.gz
ERR15625556,RCN12722,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15625556/ERR15625556_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15625556/ERR15625556_2.fastq.gz
ERR14388612,RCN12028,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_2.fastq.gz
ERR14388614,RCN12028,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_2.fastq.gz
ERR14388621,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_2.fastq.gz
ERR14388622,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_2.fastq.gz
ERR14388624,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_2.fastq.gz
ERR14388626,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_2.fastq.gz
ERR14388653,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388653/ERR14388653_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388653/ERR14388653_2.fastq.gz
ERR14388661,RCN12044,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14388661/ERR14388661_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14388661/ERR14388661_2.fastq.gz
ERR14388662,RCN12044,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388662/ERR14388662_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388662/ERR14388662_2.fastq.gz
ERR14388699,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14388699/ERR14388699_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14388699/ERR14388699_2.fastq.gz
ERR14388701,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14388701/ERR14388701_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14388701/ERR14388701_2.fastq.gz
ERR14388733,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388733/ERR14388733_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388733/ERR14388733_2.fastq.gz
ERR14388742,RCN12075,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14388742/ERR14388742_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14388742/ERR14388742_2.fastq.gz
ERR14388745,RCN12076,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14388745/ERR14388745_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14388745/ERR14388745_2.fastq.gz
ERR14388756,RCN12080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14388756/ERR14388756_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14388756/ERR14388756_2.fastq.gz
ERR14388762,RCN12082,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388762/ERR14388762_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388762/ERR14388762_2.fastq.gz
ERR14388764,RCN12082,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14388764/ERR14388764_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14388764/ERR14388764_2.fastq.gz
ERR14388818,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14388818/ERR14388818_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14388818/ERR14388818_2.fastq.gz
ERR14388836,RCN12111,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14388836/ERR14388836_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14388836/ERR14388836_2.fastq.gz
ERR14388846,RCN12116,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14388846/ERR14388846_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14388846/ERR14388846_2.fastq.gz
ERR14388847,RCN12116,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14388847/ERR14388847_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14388847/ERR14388847_2.fastq.gz
ERR14389310,RCN12676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14389310/ERR14389310_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14389310/ERR14389310_2.fastq.gz
ERR14389413,RCN12712,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14389413/ERR14389413_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14389413/ERR14389413_2.fastq.gz
ERR14389414,RCN12712,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14389414/ERR14389414_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14389414/ERR14389414_2.fastq.gz
ERR14389434,RCN12720,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14389434/ERR14389434_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14389434/ERR14389434_2.fastq.gz
ERR14389436,RCN12720,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14389436/ERR14389436_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14389436/ERR14389436_2.fastq.gz
ERR15625317,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15625317/ERR15625317_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15625317/ERR15625317_2.fastq.gz
ERR15625341,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625341/ERR15625341_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625341/ERR15625341_2.fastq.gz
ERR15625344,RCN12075,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/044/ERR15625344/ERR15625344_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/044/ERR15625344/ERR15625344_2.fastq.gz
ERR15625345,RCN12076,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/045/ERR15625345/ERR15625345_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/045/ERR15625345/ERR15625345_2.fastq.gz
ERR15625348,RCN12080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/048/ERR15625348/ERR15625348_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/048/ERR15625348/ERR15625348_2.fastq.gz
ERR15625358,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15625358/ERR15625358_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15625358/ERR15625358_2.fastq.gz
ERR15625361,RCN12111,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15625361/ERR15625361_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15625361/ERR15625361_2.fastq.gz
ERR15625537,RCN12676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/037/ERR15625537/ERR15625537_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/037/ERR15625537/ERR15625537_2.fastq.gz
ERR14388696,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14388696/ERR14388696_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14388696/ERR14388696_2.fastq.gz
ERR14388698,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14388698/ERR14388698_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14388698/ERR14388698_2.fastq.gz
ERR14388753,RCN12079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388753/ERR14388753_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388753/ERR14388753_2.fastq.gz
ERR14388754,RCN12079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14388754/ERR14388754_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14388754/ERR14388754_2.fastq.gz
ERR14388765,RCN12083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14388765/ERR14388765_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14388765/ERR14388765_2.fastq.gz
ERR14388767,RCN12083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14388767/ERR14388767_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14388767/ERR14388767_2.fastq.gz
ERR14388807,RCN12100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388807/ERR14388807_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388807/ERR14388807_2.fastq.gz
ERR14388809,RCN12100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14388809/ERR14388809_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14388809/ERR14388809_2.fastq.gz
ERR14389371,RCN12698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14389371/ERR14389371_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14389371/ERR14389371_2.fastq.gz
ERR14389372,RCN12698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14389372/ERR14389372_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14389372/ERR14389372_2.fastq.gz
ERR14389373,RCN12698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14389373/ERR14389373_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14389373/ERR14389373_2.fastq.gz
ERR14389389,RCN12704,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/089/ERR14389389/ERR14389389_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/089/ERR14389389/ERR14389389_2.fastq.gz
ERR14389390,RCN12704,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/090/ERR14389390/ERR14389390_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/090/ERR14389390/ERR14389390_2.fastq.gz
ERR14389391,RCN12704,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/091/ERR14389391/ERR14389391_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/091/ERR14389391/ERR14389391_2.fastq.gz
ERR15625330,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/030/ERR15625330/ERR15625330_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/030/ERR15625330/ERR15625330_2.fastq.gz
ERR15625347,RCN12079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/047/ERR15625347/ERR15625347_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/047/ERR15625347/ERR15625347_2.fastq.gz
ERR15625351,RCN12083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15625351/ERR15625351_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15625351/ERR15625351_2.fastq.gz
ERR15625357,RCN12100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15625357/ERR15625357_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15625357/ERR15625357_2.fastq.gz
ERR14388634,RCN12035,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388634/ERR14388634_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388634/ERR14388634_2.fastq.gz
ERR14388648,RCN12040,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14388648/ERR14388648_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14388648/ERR14388648_2.fastq.gz
ERR14388679,RCN12051,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14388679/ERR14388679_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14388679/ERR14388679_2.fastq.gz
ERR14388697,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14388697/ERR14388697_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14388697/ERR14388697_2.fastq.gz
ERR14388700,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14388700/ERR14388700_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14388700/ERR14388700_2.fastq.gz
ERR14388731,RCN12071,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14388731/ERR14388731_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14388731/ERR14388731_2.fastq.gz
ERR14388732,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14388732/ERR14388732_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14388732/ERR14388732_2.fastq.gz
ERR14388755,RCN12079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14388755/ERR14388755_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14388755/ERR14388755_2.fastq.gz
ERR14388757,RCN12080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14388757/ERR14388757_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14388757/ERR14388757_2.fastq.gz
ERR14388769,RCN12084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14388769/ERR14388769_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14388769/ERR14388769_2.fastq.gz
ERR14388808,RCN12100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388808/ERR14388808_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388808/ERR14388808_2.fastq.gz
ERR14388816,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14388816/ERR14388816_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14388816/ERR14388816_2.fastq.gz
ERR14388844,RCN12115,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14388844/ERR14388844_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14388844/ERR14388844_2.fastq.gz
ERR14389308,RCN12676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14389308/ERR14389308_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14389308/ERR14389308_2.fastq.gz
ERR14389356,RCN12693,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14389356/ERR14389356_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14389356/ERR14389356_2.fastq.gz
ERR14389442,RCN12722,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14389442/ERR14389442_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14389442/ERR14389442_2.fastq.gz
ERR14389449,RCN12725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14389449/ERR14389449_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14389449/ERR14389449_2.fastq.gz
ERR15625310,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/010/ERR15625310/ERR15625310_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/010/ERR15625310/ERR15625310_2.fastq.gz
ERR15625550,RCN12710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625550/ERR15625550_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625550/ERR15625550_2.fastq.gz
ERR15625551,RCN12712,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15625551/ERR15625551_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15625551/ERR15625551_2.fastq.gz
ERR14388604,RCN12025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_2.fastq.gz
ERR14388623,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14388623/ERR14388623_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14388623/ERR14388623_2.fastq.gz
ERR14388659,RCN12043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14388659/ERR14388659_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14388659/ERR14388659_2.fastq.gz
ERR14388726,RCN12070,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388726/ERR14388726_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388726/ERR14388726_2.fastq.gz
ERR14388734,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388734/ERR14388734_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388734/ERR14388734_2.fastq.gz
ERR14388758,RCN12080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388758/ERR14388758_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388758/ERR14388758_2.fastq.gz
ERR14388766,RCN12083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14388766/ERR14388766_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14388766/ERR14388766_2.fastq.gz
ERR14388817,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14388817/ERR14388817_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14388817/ERR14388817_2.fastq.gz
ERR14389309,RCN12676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14389309/ERR14389309_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14389309/ERR14389309_2.fastq.gz
ERR14389344,RCN12689,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14389344/ERR14389344_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14389344/ERR14389344_2.fastq.gz
ERR14389415,RCN12712,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14389415/ERR14389415_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14389415/ERR14389415_2.fastq.gz
ERR14389426,RCN12716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14389426/ERR14389426_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14389426/ERR14389426_2.fastq.gz
ERR14389470,RCN12732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14389470/ERR14389470_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14389470/ERR14389470_2.fastq.gz
ERR15625331,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/031/ERR15625331/ERR15625331_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/031/ERR15625331/ERR15625331_2.fastq.gz
ERR15625541,RCN12688,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625541/ERR15625541_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625541/ERR15625541_2.fastq.gz
ERR15625546,RCN12698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15625546/ERR15625546_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15625546/ERR15625546_2.fastq.gz
ERR15625547,RCN12700,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/047/ERR15625547/ERR15625547_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/047/ERR15625547/ERR15625547_2.fastq.gz
ERR15625548,RCN12704,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/048/ERR15625548/ERR15625548_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/048/ERR15625548/ERR15625548_2.fastq.gz
ERR14388607,RCN12026,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388607/ERR14388607_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388607/ERR14388607_2.fastq.gz
ERR14388608,RCN12026,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388608/ERR14388608_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388608/ERR14388608_2.fastq.gz
ERR14388627,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_2.fastq.gz
ERR14388629,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_2.fastq.gz
ERR14388638,RCN12036,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388638/ERR14388638_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388638/ERR14388638_2.fastq.gz
ERR14388651,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14388651/ERR14388651_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14388651/ERR14388651_2.fastq.gz
ERR14388652,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14388652/ERR14388652_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14388652/ERR14388652_2.fastq.gz
ERR14388657,RCN12043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14388657/ERR14388657_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14388657/ERR14388657_2.fastq.gz
